Customer_ID,Age,Gender,City,State,purchase_count,Loyalty_Tier
CUST_00001,40,Male,New York City,New York,35,Platinum
CUST_00002,33,Male,Austin,Texas,31,Platinum
CUST_00003,42,Male,Atlanta,Georgia,16,Gold
CUST_00004,53,Male,Denver,Colorado,8,Silver
CUST_00005,32,Male,New York City,New York,32,Platinum
CUST_00006,32,Female,Austin,Texas,44,Platinum
CUST_00007,53,Female,New York City,New York,11,Silver
CUST_00008,44,Female,Atlanta,Georgia,46,Platinum
CUST_00009,29,Male,New York City,New York,9,Silver
CUST_00010,41,Male,Boston,Massachusetts,39,Platinum
CUST_00011,29,Male,Boston,Massachusetts,84,Platinum
CUST_00012,29,Other,Austin,Texas,12,Gold
CUST_00013,37,Female,Austin,Texas,23,Gold
CUST_00014,18,Female,Atlanta,Georgia,35,Platinum
CUST_00015,18,Male,New York City,New York,58,Platinum
CUST_00016,28,Female,Austin,Texas,140,Platinum
CUST_00017,22,Male,New York City,New York,17,Gold
CUST_00018,38,Female,Chicago,Illinois,53,Platinum
CUST_00019,24,Female,Dallas,Texas,9,Silver
CUST_00020,18,Female,Austin,Texas,18,Gold
CUST_00021,52,Female,Austin,Texas,47,Platinum
CUST_00022,32,Male,Boston,Massachusetts,57,Platinum
CUST_00023,35,Female,Seattle,Washington,14,Gold
CUST_00024,18,Female,Chicago,Illinois,25,Platinum
CUST_00025,28,Male,Seattle,Washington,20,Gold
CUST_00026,36,Male,Denver,Colorado,27,Platinum
CUST_00027,21,Male,Seattle,Washington,46,Platinum
CUST_00028,39,Male,New York City,New York,17,Gold
CUST_00029,27,Male,Austin,Texas,101,Platinum
CUST_00030,31,Female,Seattle,Washington,96,Platinum
CUST_00031,27,Male,Denver,Colorado,44,Platinum
CUST_00032,57,Male,Los Angeles,California,8,Silver
CUST_00033,34,Female,New York City,New York,20,Gold
CUST_00034,22,Female,Boston,Massachusetts,27,Platinum
CUST_00035,44,Female,Boston,Massachusetts,18,Gold
CUST_00036,20,Male,Austin,Texas,34,Platinum
CUST_00037,37,Female,Dallas,Texas,17,Gold
CUST_00038,18,Female,Denver,Colorado,38,Platinum
CUST_00039,19,Male,Boston,Massachusetts,47,Platinum
CUST_00040,37,Male,Denver,Colorado,41,Platinum
CUST_00041,43,Female,Seattle,Washington,52,Platinum
CUST_00042,37,Female,Denver,Colorado,24,Gold
CUST_00043,33,Female,Austin,Texas,31,Platinum
CUST_00044,31,Female,Austin,Texas,31,Platinum
CUST_00045,18,Female,Denver,Colorado,21,Gold
CUST_00046,26,Female,Seattle,Washington,34,Platinum
CUST_00047,29,Male,Chicago,Illinois,23,Gold
CUST_00048,47,Male,San Francisco,California,52,Platinum
CUST_00049,39,Male,New York City,New York,35,Platinum
CUST_00050,18,Female,Denver,Colorado,16,Gold
CUST_00051,38,Female,Austin,Texas,18,Gold
CUST_00052,30,Female,Dallas,Texas,55,Platinum
CUST_00053,26,Male,Los Angeles,California,15,Gold
CUST_00054,42,Female,Denver,Colorado,9,Silver
CUST_00055,47,Male,Austin,Texas,37,Platinum
CUST_00056,46,Male,Austin,Texas,56,Platinum
CUST_00057,24,Female,San Francisco,California,39,Platinum
CUST_00058,31,Female,Chicago,Illinois,78,Platinum
CUST_00059,38,Other,Dallas,Texas,55,Platinum
CUST_00060,46,Male,New York City,New York,18,Gold
CUST_00061,29,Female,Seattle,Washington,42,Platinum
CUST_00062,32,Male,San Francisco,California,45,Platinum
CUST_00063,21,Male,New York City,New York,39,Platinum
CUST_00064,20,Female,Chicago,Illinois,9,Silver
CUST_00065,44,Female,Austin,Texas,20,Gold
CUST_00066,51,Female,Denver,Colorado,10,Silver
CUST_00067,34,Male,Atlanta,Georgia,64,Platinum
CUST_00068,47,Female,Denver,Colorado,9,Silver
CUST_00069,39,Male,Dallas,Texas,27,Platinum
CUST_00070,27,Female,Chicago,Illinois,48,Platinum
CUST_00071,39,Male,Austin,Texas,60,Platinum
CUST_00072,53,Male,Chicago,Illinois,80,Platinum
CUST_00073,34,Female,Denver,Colorado,18,Gold
CUST_00074,53,Female,New York City,New York,95,Platinum
CUST_00075,18,Male,Austin,Texas,39,Platinum
CUST_00076,44,Male,Denver,Colorado,58,Platinum
CUST_00077,36,Female,Austin,Texas,52,Platinum
CUST_00078,31,Male,Austin,Texas,44,Platinum
CUST_00079,36,Male,Denver,Colorado,46,Platinum
CUST_00080,18,Male,New York City,New York,60,Platinum
CUST_00081,32,Male,Boston,Massachusetts,21,Gold
CUST_00082,39,Female,New York City,New York,62,Platinum
CUST_00083,52,Female,Seattle,Washington,14,Gold
